time,turbine,windspeed,power_kw,ambient_temp,gearbox_temp,stator_temp,pitch
2024-06-20T00:00:00Z,T-IND-07,9.5,790.8,34.7,63.5,71.0,0.5
2024-06-20T00:10:00Z,T-IND-07,8.96,611.0,34.1,61.5,68.0,0.5
2024-06-20T00:20:00Z,T-IND-07,8.49,476.7,33.5,58.9,65.1,0.5
2024-06-20T00:30:00Z,T-IND-07,9.56,813.9,34.8,65.0,71.2,0.5
2024-06-20T00:40:00Z,T-IND-07,8.49,475.6,34.1,60.0,65.6,0.5
2024-06-20T00:50:00Z,T-IND-07,9.67,854.9,33.9,63.8,71.2,0.5
2024-06-20T01:00:00Z,T-IND-07,10.07,1020.0,33.9,66.7,73.5,0.5
2024-06-20T01:10:00Z,T-IND-07,9.47,779.2,34.8,63.5,70.4,0.5
2024-06-20T01:20:00Z,T-IND-07,9.15,669.7,34.7,62.0,69.6,0.5
2024-06-20T01:30:00Z,T-IND-07,7.69,296.9,34.9,58.7,63.2,0.5
2024-06-20T01:40:00Z,T-IND-07,11.11,1537.4,35.4,73.1,82.4,0.5
2024-06-20T01:50:00Z,T-IND-07,10.46,1197.7,34.7,68.7,77.0,0.5
2024-06-20T02:00:00Z,T-IND-07,10.58,1254.3,35.7,70.7,79.5,0.5
2024-06-20T02:10:00Z,T-IND-07,8.68,528.1,35.1,61.1,66.4,0.5
2024-06-20T02:20:00Z,T-IND-07,11.71,1904.1,36.4,78.6,89.4,0.5
2024-06-20T02:30:00Z,T-IND-07,9.95,968.5,35.9,67.2,74.5,0.5
2024-06-20T02:40:00Z,T-IND-07,10.22,1082.4,35.5,68.2,76.5,0.5
2024-06-20T02:50:00Z,T-IND-07,9.52,798.4,35.2,64.5,71.2,0.5
2024-06-20T03:00:00Z,T-IND-07,8.88,587.1,36.5,63.8,69.2,0.5
2024-06-20T03:10:00Z,T-IND-07,11.91,2037.7,36.2,80.7,91.4,0.5
2024-06-20T03:20:00Z,T-IND-07,12.12,2100.0,36.5,81.6,91.9,0.21
2024-06-20T03:30:00Z,T-IND-07,10.74,1337.4,37.1,73.5,82.6,0.5
2024-06-20T03:40:00Z,T-IND-07,10.3,1122.6,37.3,70.7,77.9,0.5
