Timestamp,Asset_ID,Wspd_Avg,P_Active_kW,Temp_Ambient_degC,Blade_Pitch_Avg,Grid_Curtailment_Flag
10/05/2024 00:00,KLM-WTG03,6.03,76.6,11.0,0.36,0
10/05/2024 00:10,KLM-WTG03,11.13,1535.0,10.9,0.28,0
10/05/2024 00:20,KLM-WTG03,6.49,100.1,11.2,0.24,0
10/05/2024 00:30,KLM-WTG03,4.39,18.9,11.5,0.13,0
10/05/2024 00:40,KLM-WTG03,8.54,459.7,11.4,0.37,0
10/05/2024 00:50,KLM-WTG03,8.83,550.9,11.5,0.36,0
10/05/2024 01:00,KLM-WTG03,9.58,822.8,11.5,0.24,0
10/05/2024 01:10,KLM-WTG03,8.47,468.8,11.6,0.06,0
10/05/2024 01:20,KLM-WTG03,9.14,654.1,11.7,0.34,0
10/05/2024 01:30,KLM-WTG03,10.74,1315.3,12.1,0.22,0
10/05/2024 01:40,KLM-WTG03,6.96,209.2,11.8,0.18,0
10/05/2024 01:50,KLM-WTG03,6.77,138.3,12.4,0.22,0
10/05/2024 02:00,KLM-WTG03,6.65,151.9,12.8,0.03,0
10/05/2024 02:10,KLM-WTG03,7.99,356.1,12.6,0.28,0
10/05/2024 02:20,KLM-WTG03,10.65,1251.3,12.6,0.31,0
10/05/2024 02:30,KLM-WTG03,9.39,746.0,12.4,0.41,0
10/05/2024 02:40,KLM-WTG03,9.43,732.2,13.4,0.28,0
10/05/2024 02:50,KLM-WTG03,6.07,60.7,12.8,0.04,0
10/05/2024 03:00,KLM-WTG03,7.85,280.5,13.5,0.25,0
10/05/2024 03:10,KLM-WTG03,6.23,98.8,13.6,0.15,0
10/05/2024 03:20,KLM-WTG03,10.84,1318.8,13.5,0.13,0
10/05/2024 03:30,KLM-WTG03,11.55,1759.4,13.6,0.28,0
10/05/2024 03:40,KLM-WTG03,10.43,1155.3,13.3,0.23,0
10/05/2024 03:50,KLM-WTG03,7.87,318.2,14.1,0.37,0
10/05/2024 04:00,KLM-WTG03,11.67,1809.3,14.4,0.13,0
10/05/2024 04:10,KLM-WTG03,9.15,643.7,14.0,0.25,0
10/05/2024 04:20,KLM-WTG03,7.79,288.3,14.4,0.21,0
10/05/2024 04:30,KLM-WTG03,8.25,409.6,14.6,0.13,0
10/05/2024 04:40,KLM-WTG03,9.13,653.9,15.0,0.1,0
10/05/2024 04:50,KLM-WTG03,9.93,911.9,14.9,0.21,0
10/05/2024 05:00,KLM-WTG03,9.69,807.0,14.6,-0.01,0
10/05/2024 05:10,KLM-WTG03,7.88,337.8,15.1,0.3,0
10/05/2024 05:20,KLM-WTG03,11.89,1967.7,15.4,0.13,0
10/05/2024 05:30,KLM-WTG03,9.92,949.9,15.8,0.09,0
10/05/2024 05:40,KLM-WTG03,9.14,622.7,15.5,0.27,0
10/05/2024 05:50,KLM-WTG03,11.94,2007.5,16.4,0.31,0
10/05/2024 06:00,KLM-WTG03,8.56,440.1,15.3,0.06,0
10/05/2024 06:10,KLM-WTG03,7.95,341.2,15.9,0.24,0
10/05/2024 06:20,KLM-WTG03,12.36,2071.2,16.1,1.14,0
10/05/2024 06:30,KLM-WTG03,13.34,2054.4,16.2,2.91,0
10/05/2024 06:40,KLM-WTG03,9.86,911.9,16.0,0.16,0
10/05/2024 06:50,KLM-WTG03,10.53,1234.8,16.6,0.09,0
10/05/2024 07:00,KLM-WTG03,8.93,593.6,16.7,0.1,0
10/05/2024 07:10,KLM-WTG03,10.7,1295.3,16.7,0.1,0
10/05/2024 07:20,KLM-WTG03,10.02,987.9,16.9,0.21,0
10/05/2024 07:30,KLM-WTG03,10.62,1278.5,16.8,0.17,0
10/05/2024 07:40,KLM-WTG03,11.42,1687.6,16.5,0.12,0
10/05/2024 07:50,KLM-WTG03,9.19,661.8,16.8,0.21,0
10/05/2024 08:00,KLM-WTG03,10.33,1075.0,17.2,0.06,0
10/05/2024 08:10,KLM-WTG03,8.19,404.9,17.2,0.19,0
10/05/2024 08:20,KLM-WTG03,10.39,1121.1,17.3,0.13,0
10/05/2024 08:30,KLM-WTG03,10.8,1319.8,17.5,0.21,0
10/05/2024 08:40,KLM-WTG03,11.3,1616.7,17.2,-0.01,0
10/05/2024 08:50,KLM-WTG03,11.33,1653.9,17.4,0.33,0
10/05/2024 09:00,KLM-WTG03,12.34,1991.7,17.6,1.11,0
10/05/2024 09:10,KLM-WTG03,8.68,537.5,17.4,0.31,0
10/05/2024 09:20,KLM-WTG03,8.77,539.5,17.1,0.07,0
10/05/2024 09:30,KLM-WTG03,11.79,1932.2,17.2,0.18,0
10/05/2024 09:40,KLM-WTG03,7.94,350.2,17.7,0.42,0
10/05/2024 09:50,KLM-WTG03,11.27,1596.2,17.9,0.11,0
10/05/2024 10:00,KLM-WTG03,9.22,669.8,17.8,0.12,0
10/05/2024 10:10,KLM-WTG03,13.34,2060.8,17.6,2.91,0
10/05/2024 10:20,KLM-WTG03,11.34,1617.5,17.1,0.15,0
10/05/2024 10:30,KLM-WTG03,10.62,1220.7,17.4,0.19,0
10/05/2024 10:40,KLM-WTG03,12.78,2054.4,17.9,1.9,0
10/05/2024 10:50,KLM-WTG03,9.32,655.7,17.6,0.23,0
