Date_and_time,Turbine_identifier,Wind_speed,Active_power,Outdoor_temperature,Pitch_angle,Rotor_speed,Gearbox_bearing_temperature,Generator_stator_temperature
2024-03-15 00:00:00,R80711 (WTG-01),4.6,15.0,8.1,0.58,9.49,26.9,30.6
2024-03-15 00:10:00,R80711 (WTG-01),4.01,0.0,7.8,0.56,9.48,25.9,29.9
2024-03-15 00:20:00,R80711 (WTG-01),5.14,20.6,8.0,0.42,10.55,25.8,30.4
2024-03-15 00:30:00,R80711 (WTG-01),6.37,100.3,7.9,0.55,11.57,27.8,31.3
2024-03-15 00:40:00,R80711 (WTG-01),4.44,4.3,7.9,0.4,9.51,26.1,30.4
2024-03-15 00:50:00,R80711 (WTG-01),4.62,0.0,8.5,0.59,10.09,26.7,31.6
2024-03-15 01:00:00,R80711 (WTG-01),6.97,164.6,8.4,0.38,11.62,29.4,33.6
2024-03-15 01:10:00,R80711 (WTG-01),6.17,89.1,8.0,0.53,11.12,28.4,31.6
2024-03-15 01:20:00,R80711 (WTG-01),4.86,19.9,8.7,0.57,10.19,27.1,30.6
2024-03-15 01:30:00,R80711 (WTG-01),6.25,103.9,8.5,0.69,11.68,28.8,32.0
2024-03-15 01:40:00,R80711 (WTG-01),5.22,15.8,8.8,0.49,10.48,27.6,30.1
2024-03-15 01:50:00,R80711 (WTG-01),5.38,61.1,8.8,0.48,10.55,27.2,30.9
2024-03-15 02:00:00,R80711 (WTG-01),6.4,123.1,8.4,0.51,11.28,27.4,32.3
2024-03-15 02:10:00,R80711 (WTG-01),3.98,27.7,8.6,0.47,8.67,26.8,30.9
2024-03-15 02:20:00,R80711 (WTG-01),4.37,0.0,9.2,0.49,9.47,27.5,32.3
2024-03-15 02:30:00,R80711 (WTG-01),5.93,87.4,9.3,0.47,10.91,29.7,32.8
2024-03-15 02:40:00,R80711 (WTG-01),5.54,46.5,9.1,0.5,10.82,27.7,31.6
2024-03-15 02:50:00,R80711 (WTG-01),7.29,213.9,9.3,0.5,12.11,29.9,35.0
2024-03-15 03:00:00,R80711 (WTG-01),5.98,70.2,9.9,0.65,10.64,29.4,33.8
2024-03-15 03:10:00,R80711 (WTG-01),5.52,13.8,9.3,0.47,10.69,26.8,31.1
2024-03-15 03:20:00,R80711 (WTG-01),9.12,627.0,9.9,0.68,13.61,37.1,43.0
2024-03-15 03:30:00,R80711 (WTG-01),7.23,195.7,9.7,0.45,12.27,29.8,35.5
2024-03-15 03:40:00,R80711 (WTG-01),7.72,291.7,9.9,0.46,12.66,32.1,36.6
2024-03-15 03:50:00,R80711 (WTG-01),6.06,98.0,10.5,0.39,11.37,30.2,34.0
2024-03-15 04:00:00,R80711 (WTG-01),7.25,220.2,10.6,0.37,12.37,31.5,36.0
2024-03-15 04:10:00,R80711 (WTG-01),8.16,401.6,10.7,0.43,12.53,33.5,40.0
2024-03-15 04:20:00,R80711 (WTG-01),6.76,130.8,11.1,0.68,11.4,31.7,35.5
2024-03-15 04:30:00,R80711 (WTG-01),8.71,522.9,10.8,0.45,13.25,35.9,42.3
2024-03-15 04:40:00,R80711 (WTG-01),7.65,285.1,11.2,0.52,12.4,33.1,38.2
2024-03-15 04:50:00,R80711 (WTG-01),8.13,354.3,11.0,0.37,12.94,33.9,38.9
2024-03-15 05:00:00,R80711 (WTG-01),7.86,323.4,11.4,0.53,12.51,33.4,39.0
2024-03-15 05:10:00,R80711 (WTG-01),10.9,1373.7,11.4,0.54,14.09,48.7,57.1
2024-03-15 05:20:00,R80711 (WTG-01),8.76,540.4,11.6,0.6,13.53,37.5,41.8
2024-03-15 05:30:00,R80711 (WTG-01),7.59,252.9,12.0,0.44,12.43,33.7,37.9
2024-03-15 05:40:00,R80711 (WTG-01),9.93,938.4,11.6,0.42,13.77,41.7,49.1
2024-03-15 05:50:00,R80711 (WTG-01),7.55,245.3,13.0,0.4,12.61,33.8,40.7
2024-03-15 06:00:00,R80711 (WTG-01),9.34,724.2,11.9,0.52,13.38,40.1,45.9
2024-03-15 06:10:00,R80711 (WTG-01),6.8,156.6,12.0,0.76,11.83,32.7,36.2
2024-03-15 06:20:00,R80711 (WTG-01),7.62,277.1,13.1,0.68,12.32,35.8,40.3
2024-03-15 06:30:00,R80711 (WTG-01),9.51,766.1,13.1,0.56,13.85,41.9,47.3
2024-03-15 06:40:00,R80711 (WTG-01),10.21,1041.0,13.2,0.48,14.04,45.8,53.1
2024-03-15 06:50:00,R80711 (WTG-01),9.57,776.6,13.4,0.54,13.81,42.3,49.3
2024-03-15 07:00:00,R80711 (WTG-01),9.26,702.6,13.3,0.55,13.49,40.1,47.6
2024-03-15 07:10:00,R80711 (WTG-01),9.07,631.9,13.1,0.53,13.14,39.2,46.6
2024-03-15 07:20:00,R80711 (WTG-01),7.68,288.1,13.7,0.57,12.5,35.6,41.2
2024-03-15 07:30:00,R80711 (WTG-01),8.61,489.4,13.5,0.51,13.01,38.0,43.7
2024-03-15 07:40:00,R80711 (WTG-01),8.94,591.9,14.4,0.45,13.56,40.0,46.4
2024-03-15 07:50:00,R80711 (WTG-01),10.77,1310.8,14.1,0.64,14.4,50.5,57.5
2024-03-15 08:00:00,R80711 (WTG-01),9.91,932.7,13.9,0.59,13.9,45.2,51.5
2024-03-15 08:10:00,R80711 (WTG-01),7.38,257.5,14.3,0.73,12.21,35.6,41.5
2024-03-15 08:20:00,R80711 (WTG-01),9.87,937.5,14.7,0.45,13.78,45.4,51.9
2024-03-15 08:30:00,R80711 (WTG-01),9.01,596.1,14.5,0.4,13.2,40.6,46.8
2024-03-15 08:40:00,R80711 (WTG-01),8.64,526.8,14.5,0.4,13.32,39.6,45.4
2024-03-15 08:50:00,R80711 (WTG-01),10.16,1040.2,15.0,0.39,14.1,47.3,55.1
2024-03-15 09:00:00,R80711 (WTG-01),10.62,1250.9,15.1,0.75,14.16,50.0,58.1
2024-03-15 09:10:00,R80711 (WTG-01),10.47,1161.9,15.0,0.44,14.43,49.5,56.4
2024-03-15 09:20:00,R80711 (WTG-01),8.3,405.3,15.1,0.55,12.79,38.9,44.1
2024-03-15 09:30:00,R80711 (WTG-01),8.88,549.4,15.4,0.65,13.63,40.6,46.6
2024-03-15 09:40:00,R80711 (WTG-01),9.59,810.5,14.9,0.53,13.84,44.9,50.6
2024-03-15 09:50:00,R80711 (WTG-01),10.3,1084.2,15.0,0.36,13.96,47.8,56.6
2024-03-15 10:00:00,R80711 (WTG-01),8.49,458.0,15.3,0.52,13.03,40.2,46.7
2024-03-15 10:10:00,R80711 (WTG-01),8.77,532.5,15.6,0.45,13.42,41.2,47.8
2024-03-15 10:20:00,R80711 (WTG-01),7.59,280.3,15.9,0.46,12.54,38.3,43.2
2024-03-15 10:30:00,R80711 (WTG-01),7.4,246.6,16.4,0.61,12.52,38.5,43.0
2024-03-15 10:40:00,R80711 (WTG-01),9.72,850.1,16.2,0.51,14.02,45.4,52.9
2024-03-15 10:50:00,R80711 (WTG-01),10.28,1077.5,15.8,0.5,14.35,48.6,56.3
2024-03-15 11:00:00,R80711 (WTG-01),8.46,438.2,15.9,0.57,13.14,41.0,45.2
2024-03-15 11:10:00,R80711 (WTG-01),9.65,830.4,15.6,0.52,14.05,44.9,51.9
2024-03-15 11:20:00,R80711 (WTG-01),8.77,549.7,16.0,0.52,13.12,41.6,48.0
2024-03-15 11:30:00,R80711 (WTG-01),7.45,232.4,15.9,0.51,12.19,37.7,40.9
2024-03-15 11:40:00,R80711 (WTG-01),8.54,469.7,16.1,0.54,13.37,40.5,45.8
2024-03-15 11:50:00,R80711 (WTG-01),9.83,923.9,15.7,0.36,13.4,46.5,53.1
2024-03-15 12:00:00,R80711 (WTG-01),7.81,298.4,16.2,0.57,12.63,38.0,42.5
2024-03-15 12:10:00,R80711 (WTG-01),9.6,822.9,16.6,0.57,13.69,46.7,52.0
2024-03-15 12:20:00,R80711 (WTG-01),4.45,0.0,15.9,0.43,9.6,34.0,37.8
2024-03-15 12:30:00,R80711 (WTG-01),8.44,457.7,16.1,0.37,13.29,40.3,46.6
2024-03-15 12:40:00,R80711 (WTG-01),7.41,247.1,16.1,0.55,12.42,37.7,42.7
2024-03-15 12:50:00,R80711 (WTG-01),6.81,174.9,15.7,0.52,11.99,36.0,41.5
2024-03-15 13:00:00,R80711 (WTG-01),7.12,187.2,15.9,0.68,12.08,35.7,41.1
2024-03-15 13:10:00,R80711 (WTG-01),4.48,0.0,15.7,0.58,9.52,33.5,36.6
2024-03-15 13:20:00,R80711 (WTG-01),6.44,108.0,15.7,0.26,11.25,35.5,40.0
2024-03-15 13:30:00,R80711 (WTG-01),6.98,183.2,15.2,0.4,11.97,35.7,39.7
2024-03-15 13:40:00,R80711 (WTG-01),8.16,408.9,15.5,0.59,12.77,39.1,44.6
2024-03-15 13:50:00,R80711 (WTG-01),5.6,18.8,15.6,0.48,10.7,33.3,37.7
2024-03-15 14:00:00,R80711 (WTG-01),5.09,52.5,15.9,0.56,10.22,34.9,39.6
2024-03-15 14:10:00,R80711 (WTG-01),5.29,47.4,15.6,0.51,10.41,34.6,38.6
2024-03-15 14:20:00,R80711 (WTG-01),6.82,169.6,15.9,0.56,12.07,36.0,41.6
2024-03-15 14:30:00,R80711 (WTG-01),5.94,74.3,14.7,0.71,11.01,34.5,38.0
2024-03-15 14:40:00,R80711 (WTG-01),4.73,4.9,15.2,0.45,9.89,33.5,37.6
2024-03-15 14:50:00,R80711 (WTG-01),5.81,53.8,14.8,0.5,11.46,34.4,38.0
2024-03-15 15:00:00,R80711 (WTG-01),5.13,27.9,15.5,0.51,10.51,33.3,37.8
2024-03-15 15:10:00,R80711 (WTG-01),6.0,51.0,14.1,0.54,11.33,32.6,37.9
2024-03-15 15:20:00,R80711 (WTG-01),3.82,0.0,14.0,0.35,8.76,32.5,37.0
2024-03-15 15:30:00,R80711 (WTG-01),4.09,0.0,13.9,0.61,9.12,31.8,36.4
2024-03-15 15:40:00,R80711 (WTG-01),3.83,11.4,13.2,0.34,9.03,32.0,35.0
2024-03-15 15:50:00,R80711 (WTG-01),2.36,0.0,13.6,0.0,2.36,31.8,35.8
2024-03-15 16:00:00,R80711 (WTG-01),4.3,1.7,13.4,0.33,9.4,31.3,36.1
2024-03-15 16:10:00,R80711 (WTG-01),4.07,0.0,13.6,0.52,8.88,31.8,35.8
2024-03-15 16:20:00,R80711 (WTG-01),3.59,0.0,13.5,0.58,8.05,32.1,35.1
2024-03-15 16:30:00,R80711 (WTG-01),3.12,0.0,14.0,0.47,6.61,32.1,35.8
2024-03-15 16:40:00,R80711 (WTG-01),1.52,0.0,13.4,0.0,2.12,32.0,36.3
2024-03-15 16:50:00,R80711 (WTG-01),2.54,0.0,12.6,0.0,2.08,31.1,35.1
2024-03-15 17:00:00,R80711 (WTG-01),2.45,0.0,12.3,0.0,2.24,31.0,34.6
2024-03-15 17:10:00,R80711 (WTG-01),1.73,0.0,12.7,0.0,2.29,30.9,34.5
2024-03-15 17:20:00,R80711 (WTG-01),2.32,0.0,11.8,0.0,2.06,30.0,33.8
2024-03-15 17:30:00,R80711 (WTG-01),2.83,0.0,12.9,0.0,2.27,30.9,34.8
2024-03-15 17:40:00,R80711 (WTG-01),4.43,0.0,12.5,0.48,9.68,30.2,34.5
2024-03-15 17:50:00,R80711 (WTG-01),2.21,0.0,11.6,0.0,2.07,30.1,33.8
2024-03-15 18:00:00,R80711 (WTG-01),2.14,0.0,11.0,0.0,2.23,27.9,34.7
2024-03-15 18:10:00,R80711 (WTG-01),1.58,0.0,12.0,0.0,2.33,30.6,33.4
2024-03-15 18:20:00,R80711 (WTG-01),1.0,0.0,11.3,0.0,2.1,29.4,32.9
2024-03-15 18:30:00,R80711 (WTG-01),1.31,0.0,11.6,0.0,2.22,29.5,33.8
2024-03-15 18:40:00,R80711 (WTG-01),1.26,0.0,10.3,0.0,2.35,28.3,33.5
2024-03-15 18:50:00,R80711 (WTG-01),3.99,17.2,10.6,0.53,8.9,28.8,33.0
2024-03-15 19:00:00,R80711 (WTG-01),1.0,0.0,10.6,0.0,2.34,28.9,33.0
2024-03-15 19:10:00,R80711 (WTG-01),1.1,0.0,10.5,0.0,2.2,27.9,32.0
2024-03-15 19:20:00,R80711 (WTG-01),1.0,0.0,10.1,0.0,2.33,28.3,32.1
2024-03-15 19:30:00,R80711 (WTG-01),1.0,0.0,10.4,0.0,2.44,28.6,32.6
2024-03-15 19:40:00,R80711 (WTG-01),1.69,0.0,9.6,0.0,2.37,28.3,31.4
2024-03-15 19:50:00,R80711 (WTG-01),1.09,0.0,9.8,0.0,2.16,28.3,32.4
2024-03-15 20:00:00,R80711 (WTG-01),1.01,0.0,9.7,0.0,2.38,28.0,31.6
2024-03-15 20:10:00,R80711 (WTG-01),1.0,0.0,9.8,0.0,2.41,28.5,31.8
2024-03-15 20:20:00,R80711 (WTG-01),1.5,0.0,9.7,0.0,2.0,27.2,31.0
2024-03-15 20:30:00,R80711 (WTG-01),1.0,0.0,8.8,0.0,2.2,26.1,30.3
2024-03-15 20:40:00,R80711 (WTG-01),1.0,0.0,8.6,0.0,2.22,27.3,30.2
2024-03-15 20:50:00,R80711 (WTG-01),2.11,0.0,9.6,0.0,2.11,26.9,31.7
2024-03-15 21:00:00,R80711 (WTG-01),1.0,0.0,9.1,0.0,2.33,26.7,30.6
2024-03-15 21:10:00,R80711 (WTG-01),1.0,0.0,8.5,0.0,2.19,27.6,30.6
2024-03-15 21:20:00,R80711 (WTG-01),1.0,0.0,9.3,0.0,2.24,27.9,30.5
2024-03-15 21:30:00,R80711 (WTG-01),1.0,0.0,8.7,0.0,2.29,25.8,32.1
2024-03-15 21:40:00,R80711 (WTG-01),1.0,0.0,9.0,0.0,2.38,27.4,31.4
2024-03-15 21:50:00,R80711 (WTG-01),1.0,0.0,8.5,0.0,2.48,26.9,30.3
2024-03-15 22:00:00,R80711 (WTG-01),1.0,0.0,9.2,0.0,2.46,27.4,30.7
2024-03-15 22:10:00,R80711 (WTG-01),1.0,0.0,9.0,0.0,2.24,26.9,30.5
2024-03-15 22:20:00,R80711 (WTG-01),1.0,0.0,8.1,0.0,2.15,25.6,30.2
